sex,Rings
M,8
F,9
M,10
F,9
M,8
M,12
M,10
F,11
F,10
M,10
M,9
F,11
F,9
F,10
M,9
M,11
F,11
F,9
M,10
F,12
F,11
F,11
M,11
M,10
F,11
I,3
I,4
I,4
I,6
I,6
I,6
I,7
I,6
I,6
I,7
I,7
I,7
I,6
I,6
I,9
I,8
I,6
M,7
I,8
I,8
I,8
I,8
I,8
I,9
I,8
I,7
I,9
F,7
I,9
M,8
I,9
I,8
I,9
I,8
M,8
I,9
I,8
I,10
F,10
M,10
I,9
F,8
I,8
I,9
F,9
M,9
I,10
I,10
I,11
M,9
F,9
F,9
F,10
F,9
M,8
F,11
M,11
F,10
F,9
F,10
M,9
F,10
F,9
M,11
M,9
I,11
M,10
M,12
M,11
F,11
F,9
M,11
F,8
F,12
M,11
M,10
M,11
M,12
M,12
I,4
I,8
I,5
I,7
I,8
I,8
F,7
M,8
M,7
F,9
M,9
F,10
M,10
F,11
M,11
M,9
M,14
M,9
M,11
F,12
F,9
F,8
M,10
M,10
F,9
F,10
M,10
M,10
F,13
I,6
I,7
I,5
I,5
I,5
I,6
I,6
I,8
I,6
I,8
I,8
I,7
I,9
I,8
I,8
I,7
I,9
I,9
I,8
I,9
I,9
I,8
I,10
F,10
I,9
I,9
M,9
I,11
M,7
I,10
M,9
F,10
I,10
I,8
I,9
I,9
I,9
I,8
F,11
F,10
I,9
M,8
I,10
F,10
F,10
F,12
M,10
F,10
M,11
F,10
M,10
F,9
M,11
M,11
M,10
I,11
M,10
F,14
I,11
I,11
F,9
M,13
M,12
M,11
M,11
M,10
F,10
M,13
M,12
F,10
M,11
F,10
M,10
F,11
F,11
M,11
F,9
F,11
M,11
F,9
M,10
M,11
M,11
F,10
M,11
F,11
M,11
I,5
I,7
I,7
I,7
F,7
M,9
I,9
I,9
F,7
M,9
I,8
M,7
I,10
M,9
M,9
F,9
F,10
M,10
M,10
M,9
M,10
M,9
F,9
F,9
F,11
F,12
F,13
F,12
I,5
I,5
I,7
I,6
I,6
I,7
I,8
I,7
I,8
I,8
I,8
I,8
I,9
I,10
I,9
M,9
M,9
M,10
I,8
I,11
I,10
I,9
F,10
M,10
M,9
F,9
I,9
I,10
M,9
F,9
I,9
M,8
F,13
M,9
I,9
M,10
M,10
M,10
F,11
I,12
M,11
M,9
M,10
M,12
F,8
F,10
F,10
F,11
F,13
F,14
M,10
M,12
F,11
M,13
F,10
F,11
M,12
I,3
I,6
I,7
I,7
M,9
I,8
F,8
M,10
F,8
I,8
M,9
F,12
I,8
I,6
I,8
M,8
M,8
M,9
M,8
M,10
M,10
F,9
F,9
M,7
M,11
F,10
M,11
M,11
F,12
M,14
F,10
F,14
M,11
M,6
F,7
M,9
I,4
I,8
M,8
F,9
M,11
F,9
M,16
M,14
M,11
I,6
M,9
F,14
M,6
F,7
M,10
M,12
F,9
F,11
M,8
I,9
M,16
F,12
F,9
F,14
F,14
M,10
F,18
I,5
M,19
F,10
F,15
F,8
F,9
M,15
F,12
F,9
I,5
F,12
M,9
M,16
F,15
M,10
F,15
I,7
F,10
F,15
M,10
I,9
I,7
F,7
F,9
F,12
M,12
M,16
F,12
F,13
I,9
M,12
F,13
M,14
F,17
F,10
I,4
M,15
F,12
I,4
M,16
M,16
M,6
M,4
I,13
I,9
F,10
M,13
I,10
I,15
I,11
I,19
I,11
F,10
I,13
F,18
I,11
M,8
M,10
I,10
M,12
F,20
F,8
I,14
I,12
I,10
F,16
F,21
I,17
F,11
I,6
I,5
M,11
F,13
M,13
F,10
M,14
M,11
F,15
F,11
M,14
M,20
I,6
M,13
M,16
F,12
F,13
F,13
F,13
I,5
I,8
M,7
I,9
F,12
F,10
F,9
F,11
M,11
M,10
F,10
I,4
I,5
I,6
I,6
I,6
I,6
I,6
I,6
I,6
M,8
I,7
I,8
I,6
I,7
I,7
M,8
M,6
F,7
M,8
I,6
F,6
M,10
M,11
F,10
F,11
M,8
F,11
M,10
M,9
M,10
M,12
I,4
I,5
I,6
I,6
I,6
I,6
I,7
I,6
I,8
I,8
M,10
F,9
M,9
F,11
M,12
M,8
M,9
M,9
F,8
M,8
M,10
M,10
F,9
M,11
M,8
M,10
F,11
F,10
M,11
I,6
I,6
I,7
I,7
I,6
I,8
I,7
I,7
I,8
I,8
I,10
M,7
I,11
I,8
I,10
I,11
I,11
F,12
I,10
F,10
F,8
F,10
M,9
M,11
M,11
F,13
M,9
M,9
M,10
M,13
F,10
F,10
F,9
M,11
F,11
F,10
M,8
I,8
M,10
M,9
F,11
F,9
I,6
I,7
I,6
I,7
I,8
I,7
I,8
I,8
I,9
I,8
M,8
I,8
I,9
M,10
M,8
I,8
M,11
I,9
M,10
F,10
M,11
M,8
I,10
M,9
M,9
M,11
M,12
F,11
M,11
M,13
F,11
F,12
M,9
F,9
M,9
F,9
F,11
M,11
M,10
F,11
F,9
F,11
I,7
I,7
M,8
M,9
I,8
F,9
I,8
F,9
F,10
M,9
F,9
M,9
I,4
M,7
I,9
I,8
I,8
I,8
I,9
M,11
I,10
M,8
I,10
M,10
I,11
I,10
M,11
F,9
F,11
F,9
M,11
M,11
F,10
F,10
F,11
M,13
F,13
M,11
M,11
M,10
M,11
M,11
I,6
I,7
I,6
I,7
I,8
I,6
I,6
M,8
M,8
I,8
F,9
F,11
F,11
M,8
I,7
I,7
I,7
I,10
M,9
F,8
M,10
M,10
M,8
F,11
M,10
M,9
F,10
M,12
