Sex,Length,Whole weight,Rings
"F",0.655,1.6525,10
"F",0.66,1.528,11
"M",0.66,1.5905,9
"M",0.66,1.6275,10
"F",0.66,1.3695,6
"M",0.67,1.6085,11
"F",0.675,1.587,10
"F",0.675,1.8375,12
"M",0.68,1.607,12
"M",0.69,1.7005,8
"M",0.69,1.872,10
"F",0.695,1.8385,10
"F",0.705,1.685,12
"M",0.71,2.198,11
"M",0.715,1.9525,10
"F",0.715,1.56,11
"F",0.735,2.555,11
"M",0.765,2.302,12
"I",0.185,0.029,4
"I",0.195,0.0375,3
"I",0.195,0.0325,4
"I",0.2,0.0435,4
"I",0.225,0.059,4
"I",0.245,0.071,4
"I",0.25,0.0685,5
"I",0.265,0.084,7
"I",0.275,0.106,6
"I",0.28,0.1075,5
"I",0.285,0.096,5
"I",0.3,0.1255,6
"I",0.315,0.151,6
"I",0.32,0.1415,6
"I",0.34,0.2015,5
"I",0.37,0.221,6
"I",0.375,0.2345,6
"I",0.375,0.2325,6
"I",0.385,0.2485,7
"I",0.4,0.348,6
"I",0.405,0.32,7
"I",0.41,0.282,7
"I",0.41,0.3245,6
"I",0.42,0.316,7
"I",0.42,0.3625,7
"I",0.42,0.279,6
"I",0.425,0.3685,7
"M",0.43,0.397,7
"I",0.435,0.413,6
"I",0.435,0.418,7
"I",0.44,0.3705,7
"I",0.445,0.409,7
"I",0.445,0.434,7
"I",0.445,0.411,8
"I",0.45,0.462,8
"I",0.45,0.4925,6
"I",0.45,0.3715,7
"I",0.45,0.411,6
"I",0.45,0.3685,6
"I",0.46,0.4155,7
"M",0.47,0.544,7
"I",0.47,0.4845,6
"I",0.475,0.4565,6
"I",0.475,0.4545,7
"I",0.48,0.6245,8
"M",0.49,0.5225,7
"I",0.5,0.5495,7
"I",0.5,0.542,9
"I",0.5,0.519,8
"M",0.5,0.5215,6
"F",0.505,0.5445,7
"I",0.51,0.6795,8
"F",0.51,0.545,6
"I",0.51,0.5575,9
"I",0.51,0.5155,8
"I",0.515,0.6115,8
"M",0.52,0.7765,9
"I",0.52,0.5395,8
"I",0.52,0.5545,8
"F",0.52,1.019,7
"I",0.525,0.6455,8
"I",0.525,0.601,9
"M",0.525,0.7555,9
"I",0.525,0.608,8
"I",0.53,0.617,8
"I",0.535,0.599,9
"I",0.54,0.6665,10
"M",0.545,0.7835,7
"M",0.545,0.793,9
"M",0.545,0.82,9
"F",0.55,0.8145,8
"F",0.55,0.84,8
"M",0.55,0.8315,10
"M",0.56,0.8995,9
"M",0.56,0.8965,8
"F",0.56,0.6405,8
"M",0.56,0.852,8
"M",0.565,0.9595,9
"M",0.565,0.99,8
"F",0.565,1.0095,9
"M",0.57,1.0375,9
"F",0.57,0.8775,8
"I",0.57,0.755,8
"F",0.575,0.9945,7
"F",0.575,1.068,10
"M",0.575,0.8455,9
"F",0.575,0.869,9
"M",0.575,0.907,9
"I",0.575,0.805,10
"M",0.575,1.0225,9
"M",0.575,0.847,9
"M",0.58,1.114,8
"M",0.58,1.859,9
"M",0.58,0.814,9
"M",0.58,0.9615,9
"M",0.58,1.0025,8
"F",0.58,0.93,9
"M",0.585,0.9335,9
"M",0.585,0.9555,7
"M",0.59,0.9955,8
"F",0.6,1.0265,9
"M",0.6,1.1915,8
"F",0.6,1.1025,8
"M",0.6,1.0165,10
"F",0.605,1.1775,9
"M",0.605,1.1175,9
"M",0.605,1.1835,10
"F",0.605,1.056,9
"M",0.61,1.0145,8
"M",0.61,1.3305,9
"M",0.61,1.052,9
"M",0.615,1.0565,10
"F",0.615,0.923,9
"F",0.615,1.027,9
"M",0.62,1.0195,8
"M",0.62,0.858,8
"F",0.62,1.1125,8
"F",0.625,1.3745,9
"M",0.625,1.2065,8
"M",0.63,1.1325,8
"M",0.63,1.2645,10
"F",0.635,1.1565,9
"M",0.64,1.369,10
"M",0.645,1.39,10
"F",0.645,1.1345,10
"F",0.65,1.464,9
"M",0.65,1.202,11
"M",0.655,1.31,11
"F",0.655,1.415,10
"F",0.66,1.346,11
"M",0.665,1.363,8
"I",0.665,1.2975,9
"F",0.67,1.3645,9
"F",0.685,1.7025,14
"M",0.685,1.519,10
"F",0.69,1.454,9
"M",0.69,1.583,12
"F",0.69,1.5535,9
"M",0.695,1.74,10
"M",0.7,1.751,9
"M",0.7,2.273,12
"F",0.7,1.6465,9
"F",0.705,1.219,9
"F",0.71,1.652,11
"M",0.715,2.0045,12
"M",0.715,1.6755,10
"F",0.72,2.103,10
"F",0.72,1.9965,10
"M",0.72,1.187,8
"M",0.725,1.978,12
"F",0.73,1.8795,12
"M",0.735,2.124,11
"M",0.745,1.931,11
"F",0.75,2.236,11
"F",0.755,2.505,11
"M",0.755,2.0065,10
"F",0.78,2.657,11
"I",0.185,0.4645,6
"I",0.245,0.0765,4
"I",0.25,0.0685,5
"I",0.25,0.0835,5
"I",0.275,0.1125,6
"I",0.305,0.1075,5
"I",0.31,0.1055,5
"I",0.315,0.1375,5
"I",0.315,0.1145,5
"I",0.325,0.139,6
"I",0.33,0.2085,7
"I",0.33,0.1595,5
"I",0.335,0.2015,7
"I",0.34,0.179,6
"I",0.345,0.1945,6
"I",0.345,0.2005,5
"I",0.35,0.215,6
"I",0.35,0.1785,8
"I",0.36,0.196,4
"I",0.365,0.1875,6
"I",0.365,0.196,7
"I",0.365,0.213,7
"I",0.37,0.2445,7
"I",0.37,0.217,6
"I",0.375,0.213,5
"I",0.375,0.2385,7
"I",0.375,0.218,6
"I",0.375,0.2465,6
"I",0.375,0.2025,8
"I",0.375,0.218,7
"I",0.38,0.256,6
"I",0.38,0.2105,8
"I",0.385,0.2615,9
"I",0.385,0.2175,8
"I",0.385,0.302,7
"I",0.385,0.228,5
"I",0.39,0.3265,7
"I",0.395,0.284,8
"I",0.395,0.2725,8
"I",0.395,0.2985,5
"I",0.4,0.2675,5
"I",0.405,0.2645,6
"I",0.41,0.33,7
"I",0.42,0.328,6
"I",0.425,0.3335,7
"I",0.425,0.3055,7
"I",0.425,0.301,7
"I",0.43,0.428,8
"I",0.43,0.378,8
"I",0.435,0.3685,7
"I",0.44,0.438,9
"I",0.45,0.448,9
"I",0.455,0.4005,8
"F",0.455,0.4305,8
"I",0.455,0.372,8
"I",0.46,0.466,7
"I",0.46,0.3705,9
"F",0.46,0.4785,8
"I",0.465,0.346,11
"I",0.47,0.411,8
"I",0.47,0.48,8
"I",0.47,0.393,8
"I",0.475,0.5035,8
"I",0.475,0.441,8
"I",0.475,0.492,8
"I",0.48,0.5435,9
"I",0.48,0.4725,8
"I",0.48,0.461,8
"I",0.495,0.4965,8
"I",0.495,0.5125,7
"M",0.495,0.553,8
"I",0.5,0.594,9
"M",0.5,0.6765,9
"I",0.5,0.5795,9
"I",0.5,0.6615,9
"I",0.5,0.5695,7
"I",0.5,0.6215,9
"I",0.505,0.6015,8
"I",0.505,0.594,7
"I",0.505,0.551,8
"I",0.515,0.625,7
"I",0.515,0.711,13
"I",0.515,0.6965,9
"I",0.52,0.5825,10
"I",0.52,0.663,9
"I",0.525,0.6965,9
"M",0.525,0.842,9
"I",0.53,0.694,9
"I",0.53,0.81,10
"I",0.53,0.5745,9
"I",0.53,0.7675,9
"I",0.535,0.6025,9
"I",0.535,0.5765,8
"F",0.535,0.7145,9
"M",0.535,0.717,9
"F",0.54,0.8655,10
"I",0.54,0.7265,9
"I",0.545,0.7715,8
"F",0.545,0.8,9
"I",0.545,0.7285,10
"I",0.545,0.5945,8
"I",0.55,0.7895,11
"F",0.55,0.651,9
"M",0.55,0.8745,9
"I",0.55,0.7535,10
"I",0.55,0.7305,9
"M",0.555,0.8705,9
"I",0.555,0.7395,10
"I",0.555,0.7665,9
"I",0.555,0.7905,9
"I",0.56,0.8205,9
"I",0.56,0.688,9
"F",0.56,1.224,10
"I",0.56,0.974,9
"I",0.565,0.8735,11
"F",0.565,0.8495,8
"M",0.565,0.796,8
"M",0.565,0.744,11
"I",0.57,0.751,10
"I",0.57,0.794,8
"F",0.57,0.9795,9
"M",0.57,0.873,10
"I",0.57,0.7665,10
"M",0.57,0.8965,9
"F",0.575,0.857,10
"F",0.575,1.078,9
"M",0.575,0.892,10
"M",0.58,1.4395,10
"M",0.58,0.7955,10
"F",0.58,0.858,8
"M",0.585,0.9145,9
"M",0.585,1.171,10
"I",0.585,1.0505,10
"M",0.585,1.1135,10
"M",0.585,1.409,10
"M",0.585,1.065,10
"M",0.585,0.7995,8
"I",0.59,0.7715,9
"M",0.59,1.187,9
"M",0.59,0.8855,10
"F",0.595,0.98,10
"F",0.595,1.026,12
"M",0.6,1.1315,10
"M",0.6,1.014,11
"I",0.6,1.12,10
"F",0.6,1.04,11
"F",0.6,0.8895,10
"M",0.6,0.9595,11
"I",0.605,1.238,11
"M",0.605,0.9755,10
"I",0.605,0.9025,11
"F",0.605,1.076,9
"F",0.605,1.0835,12
"M",0.61,0.871,10
"M",0.61,1.244,12
"M",0.61,1.0265,10
"I",0.61,0.9605,9
"M",0.61,1.137,10
"M",0.61,1,10
"F",0.615,1.004,10
"M",0.615,1.128,10
"M",0.615,1.054,10
"F",0.615,1.023,12
"M",0.615,1.129,10
"M",0.615,1.118,9
"F",0.615,1.115,10
"M",0.62,1.2815,10
"M",0.62,1.2555,12
"F",0.62,1.293,10
"F",0.62,1.1295,10
"M",0.625,1.082,9
"F",0.625,1.15,11
"F",0.625,1.264,9
"F",0.625,1.2035,12
"F",0.63,1.3205,9
"I",0.63,1.272,11
"M",0.63,1.062,12
"I",0.63,1.0605,10
"M",0.63,1.093,12
"M",0.635,1.101,10
"F",0.635,1.4595,9
"F",0.635,1.211,9
"M",0.635,1.1935,10
"M",0.635,0.986,10
"M",0.64,1.521,15
"M",0.64,1.3135,10
"M",0.645,1.1835,11
"M",0.645,1.401,10
"M",0.645,1.5075,11
"F",0.65,1.16,11
"F",0.65,1.662,11
"M",0.65,1.5365,11
"M",0.65,1.542,9
"F",0.65,1.567,10
"F",0.655,1.3595,10
"M",0.655,1.6445,13
"F",0.655,1.4545,10
"M",0.655,1.3585,10
"F",0.66,1.548,10
"F",0.66,1.337,10
"F",0.665,1.491,10
"F",0.67,1.5615,11
"F",0.67,1.0145,10
"M",0.675,1.7375,13
"M",0.685,1.7925,9
"F",0.695,1.7635,11
"F",0.7,1.556,12
"M",0.705,2.21,10
"M",0.705,2.141,11
"F",0.705,1.5345,12
"F",0.71,1.614,11
"F",0.72,1.9335,13
"M",0.72,2.173,12
"F",0.725,1.737,11
"F",0.73,1.7375,11
"F",0.735,2.1275,12
"F",0.745,2.25,9
"F",0.75,2.5085,14
"F",0.815,2.255,14
"I",0.14,0.014,3
"I",0.23,0.0515,4
"I",0.365,0.2215,7
"I",0.365,0.1985,5
"I",0.37,0.232,6
"I",0.375,0.3155,7
"I",0.385,0.247,5
"I",0.395,0.3025,5
"I",0.4,0.329,6
"I",0.4,0.2815,7
"I",0.405,0.3425,8
"I",0.405,0.2825,7
"I",0.405,0.304,6
"I",0.41,0.2905,5
"M",0.415,0.3895,9
"I",0.425,0.389,6
"I",0.43,0.4405,6
"I",0.44,0.369,5
"M",0.44,0.4565,8
"I",0.44,0.4465,9
"M",0.45,0.4475,6
"I",0.455,0.501,7
"I",0.46,0.436,8
"I",0.47,0.4615,9
"I",0.47,0.4315,6
"I",0.47,0.3685,6
"M",0.475,0.649,8
"I",0.475,0.459,7
"F",0.475,0.566,7
"I",0.48,0.542,7
"I",0.485,0.4725,6
"M",0.485,0.6435,8
"M",0.485,0.526,6
"F",0.495,0.573,7
"M",0.505,0.5525,9
"F",0.505,0.6855,9
"I",0.515,0.556,8
"M",0.515,0.9365,8
"I",0.515,0.5625,7
"M",0.52,0.559,8
"M",0.525,0.7205,8
"I",0.53,0.7045,9
"M",0.53,0.7575,8
"F",0.545,0.7405,9
"F",0.55,0.84,8
"M",0.55,0.793,9
"F",0.56,0.8745,8
"F",0.56,0.8715,9
"M",0.57,0.9875,8
"M",0.575,1.08,9
"M",0.575,0.9155,8
"F",0.58,1.165,9
"F",0.58,0.953,9
"M",0.585,0.906,8
"M",0.59,0.8725,8
"F",0.59,1.151,9
"F",0.59,0.9905,8
"F",0.595,1.04,9
"M",0.6,0.945,8
"M",0.6,1.259,9
"F",0.605,0.9515,11
"F",0.605,1.201,9
"F",0.605,1.289,9
"F",0.61,1.1005,11
"I",0.615,0.8425,8
"M",0.62,1.049,10
"F",0.62,1.012,8
"M",0.62,1.0725,9
"M",0.625,1.4105,10
"M",0.625,1.136,11
"M",0.63,1.1005,9
"F",0.63,1.1105,10
"M",0.63,1.1315,9
"M",0.63,1.271,11
"F",0.63,1.336,10
"F",0.635,1.1345,10
"M",0.635,1.308,8
"F",0.64,1.5335,9
"F",0.645,1.546,10
"M",0.645,1.539,11
"F",0.645,1.318,11
"F",0.65,1.5245,10
"M",0.65,1.466,10
"F",0.65,1.3825,9
"M",0.65,1.175,8
"F",0.655,1.5555,11
"M",0.655,1.7835,11
"M",0.66,1.374,10
"F",0.665,1.389,10
"M",0.67,1.7025,11
"M",0.67,1.5265,10
"M",0.67,1.519,10
"F",0.68,1.741,12
"M",0.68,1.6115,11
"M",0.69,1.7825,12
"F",0.7,1.684,11
"M",0.7,1.858,11
"M",0.705,1.675,10
"M",0.72,2.1055,12
"M",0.725,2.21,13
"M",0.74,1.8725,10
"M",0.75,1.893,11
"I",0.21,0.0475,5
"I",0.285,0.101,5
"I",0.295,0.121,6
"I",0.3,0.117,6
"I",0.305,0.1465,6
"I",0.335,0.168,5
"I",0.35,0.18,5
"I",0.355,0.1775,6
"I",0.355,0.1985,7
"I",0.36,0.2,8
"I",0.36,0.2205,7
"I",0.36,0.1845,7
"I",0.365,0.2225,7
"I",0.37,0.2175,6
"I",0.375,0.2165,7
"I",0.38,0.243,7
"I",0.38,0.237,6
"I",0.385,0.2365,8
"I",0.385,0.257,7
"I",0.385,0.308,8
"I",0.39,0.252,7
"I",0.39,0.281,7
"I",0.39,0.2225,7
"I",0.41,0.304,8
"I",0.41,0.28,8
"I",0.415,0.313,7
"I",0.425,0.317,8
"I",0.425,0.303,7
"I",0.435,0.3295,7
"I",0.435,0.367,6
"I",0.45,0.3245,8
"I",0.45,0.4195,7
"I",0.455,0.457,10
"I",0.46,0.4,7
"I",0.46,0.4255,7
"I",0.465,0.4365,9
"I",0.465,0.393,8
"I",0.47,0.499,8
"I",0.475,0.6325,8
"M",0.475,0.4285,7
"I",0.475,0.4905,8
"I",0.48,0.474,9
"I",0.48,0.536,8
"M",0.48,0.464,8
"I",0.485,0.6025,7
"I",0.49,0.4615,8
"I",0.49,0.624,8
"I",0.495,0.4715,8
"I",0.495,0.602,8
"I",0.5,0.616,8
"I",0.5,0.5955,8
"I",0.5,0.559,9
"I",0.51,0.6025,7
"F",0.515,0.6065,6
"I",0.515,0.4725,9
"I",0.515,0.4745,10
"I",0.515,0.6635,8
"I",0.515,0.5705,8
"I",0.52,0.646,9
"I",0.52,0.5545,7
"M",0.525,0.845,8
"I",0.525,0.664,9
"I",0.525,0.615,8
"I",0.525,0.654,7
"M",0.525,0.707,9
"I",0.53,0.5965,7
"I",0.53,0.6255,10
"I",0.53,0.555,9
"I",0.53,0.8365,11
"I",0.535,0.657,7
"I",0.54,0.836,9
"I",0.54,0.742,9
"I",0.54,0.8195,9
"M",0.54,0.972,10
"I",0.54,0.6275,9
"I",0.54,0.7205,10
"I",0.54,0.686,8
"I",0.545,0.686,9
"I",0.545,0.543,8
"I",0.545,0.717,8
"M",0.55,0.7625,10
"I",0.55,0.639,9
"I",0.55,0.816,12
"I",0.55,0.7815,8
"I",0.55,0.7665,8
"I",0.555,0.5585,9
"I",0.555,0.765,8
"I",0.555,0.9005,11
"I",0.56,0.8225,10
"I",0.56,0.7235,8
"M",0.56,0.849,10
"I",0.565,0.743,9
"F",0.565,0.863,9
"M",0.565,0.802,9
"M",0.565,0.831,10
"F",0.57,0.7805,8
"M",0.57,0.795,9
"I",0.57,0.848,9
"I",0.57,0.833,10
"I",0.57,0.867,9
"I",0.57,0.7405,12
"M",0.575,0.867,8
"I",0.575,0.7965,10
"F",0.575,1.116,10
"I",0.575,0.78,9
"M",0.575,0.985,10
"F",0.575,0.9965,8
"I",0.575,0.8015,9
"I",0.575,0.807,10
"F",0.575,1.0305,8
"M",0.575,0.839,9
"M",0.575,0.9615,13
"F",0.58,0.834,8
"M",0.58,1.0335,10
"M",0.58,0.798,10
"I",0.58,0.7095,9
"F",0.585,0.913,10
"M",0.59,1.207,10
"I",0.59,1.022,10
"I",0.59,0.9015,11
"F",0.595,0.9,8
"M",0.595,0.838,10
"M",0.595,0.959,10
"I",0.595,0.8335,8
"F",0.6,0.9735,8
"F",0.6,1.13,9
"M",0.6,0.9165,9
"I",0.6,0.9175,8
"F",0.6,1.0645,10
"M",0.6,1.059,9
"M",0.6,1.194,10
"F",0.605,0.9775,9
"M",0.605,0.884,8
"I",0.605,0.8025,9
"F",0.605,0.991,8
"F",0.605,0.974,9
"F",0.605,1.434,11
"M",0.61,0.983,10
"F",0.61,1.0725,10
"F",0.61,1.2405,12
"M",0.61,1.022,9
"F",0.61,1.1155,10
"I",0.61,0.9225,9
"M",0.61,1.1185,9
"F",0.61,1.2795,7
"M",0.615,1.0175,10
"M",0.615,1.224,9
"I",0.62,1.154,12
"F",0.62,1.3255,12
"M",0.62,1.221,13
"F",0.62,1.139,11
"I",0.62,1.066,11
"F",0.62,1.2215,12
"I",0.62,0.8565,9
"I",0.62,0.924,10
"M",0.62,1.266,12
"F",0.62,1.0405,9
"M",0.625,1.1165,11
"M",0.625,1.0845,10
"M",0.625,1.0985,9
"I",0.625,1.1955,12
"F",0.625,1.362,10
"I",0.625,1.044,9
"M",0.63,1.0915,9
"F",0.63,1.1965,8
"M",0.63,1.1745,11
"M",0.63,1.233,10
"M",0.63,1.2695,11
"I",0.635,1.489,13
"M",0.635,1.4345,12
"F",0.635,1.2435,10
"F",0.635,1.2615,9
"F",0.64,1.2235,10
"M",0.64,1.247,10
"M",0.64,1.707,11
"M",0.645,1.1605,10
"M",0.645,1.286,12
"M",0.645,1.5595,14
"M",0.645,1.4745,9
"M",0.645,1.226,10
"M",0.645,1.33,9
"F",0.645,1.2415,9
"M",0.645,1.3375,10
"F",0.645,1.363,10
"M",0.645,1.2215,9
"F",0.645,1.371,12
"F",0.65,1.337,9
"M",0.65,1.274,11
"M",0.65,1.488,11
"M",0.65,1.3835,9
"M",0.655,1.274,10
"F",0.655,1.043,9
"F",0.655,1.3485,12
"F",0.655,1.4405,11
"M",0.66,1.3195,9
"F",0.66,1.5175,12
"M",0.66,1.5505,10
"M",0.66,1.6375,14
"M",0.665,1.443,11
"M",0.665,1.289,11
"F",0.665,1.2915,11
"M",0.665,1.3725,12
"M",0.665,1.2975,9
"M",0.67,1.2585,12
"M",0.67,1.39,11
"F",0.67,1.32,13
"F",0.67,1.566,10
"F",0.67,1.619,11
"M",0.675,1.2835,13
"F",0.675,1.382,10
"M",0.68,1.4535,10
"F",0.68,1.6075,11
"M",0.685,1.3735,11
"F",0.685,1.638,11
"F",0.69,1.569,12
"M",0.7,1.8565,10
"F",0.7,1.773,15
"F",0.705,1.58,11
"M",0.71,2.009,11
"F",0.71,1.9805,12
"F",0.71,1.5805,10
"M",0.71,2.015,11
"M",0.72,1.8275,10
"M",0.72,2.125,13
"F",0.72,1.445,7
"F",0.725,2.1425,14
"F",0.73,1.9425,11
"M",0.735,1.747,11
"F",0.74,2.119,12
"F",0.75,1.938,11
"M",0.75,2.2205,12
"M",0.77,2.5155,12
"M",0.775,2.7795,12
"I",0.275,0.2315,5
"I",0.375,0.394,6
"F",0.375,0.597,7
"M",0.39,0.564,7
"I",0.435,0.5965,8
"M",0.445,0.414,7
"I",0.455,0.422,6
"I",0.455,0.82,8
"I",0.455,0.434,8
"I",0.465,0.7615,10
"M",0.465,0.5795,7
"I",0.485,0.5205,8
"M",0.485,0.968,9
"I",0.485,0.869,9
"F",0.49,0.8795,8
"M",0.5,1.0615,9
"M",0.515,0.9225,9
"M",0.515,1.007,8
"M",0.525,0.9605,10
"M",0.525,0.65,7
"M",0.53,0.7545,8
"F",0.535,0.771,8
"I",0.535,1.0835,8
"I",0.545,0.8935,8
"F",0.545,1.358,10
"F",0.545,1.1185,9
"F",0.55,1.205,10
"M",0.55,1.3405,10
"M",0.57,1.02,9
"M",0.575,1.025,10
"I",0.575,0.8145,10
"F",0.58,1.48,10
"M",0.585,0.953,10
"I",0.585,0.8915,8
"M",0.6,1.3005,11
"M",0.6,1.038,9
"M",0.605,1.2525,9
"M",0.605,1.15,10
"F",0.61,1.1135,11
"F",0.615,1.1155,10
"M",0.62,1.0865,10
"M",0.625,1.254,9
"M",0.625,1.169,11
"M",0.635,1.172,11
"F",0.635,1.1845,10
"F",0.64,1.0725,8
"M",0.645,1.3815,9
"M",0.65,1.6125,11
"M",0.65,1.7395,10
"F",0.655,1.5475,9
"M",0.655,1.4245,10
"F",0.665,1.3405,11
"F",0.675,1.4465,10
"F",0.685,1.5845,9
"F",0.695,1.679,10
"M",0.695,1.726,11
"F",0.705,1.5395,13
"F",0.72,2.073,9
"M",0.72,1.5865,11
"M",0.73,2.069,11
"I",0.185,0.027,5
"I",0.24,0.0555,4
"I",0.31,0.1275,7
"I",0.34,0.1885,6
"I",0.35,0.2,7
"I",0.365,0.197,6
"I",0.365,0.223,7
"I",0.365,0.2215,6
"I",0.39,0.2665,8
"I",0.405,0.269,6
"I",0.41,0.2805,7
"I",0.41,0.3305,7
"I",0.415,0.2815,6
"I",0.415,0.2805,6
"I",0.415,0.311,8
"I",0.42,0.368,11
"I",0.43,0.3405,8
"I",0.435,0.3245,7
"I",0.435,0.38,7
"I",0.435,0.335,8
"I",0.435,0.3215,7
"I",0.445,0.358,8
"I",0.465,0.445,7
"I",0.47,0.487,8
"I",0.475,0.4535,9
"I",0.485,0.568,7
"I",0.485,0.5155,8
"I",0.485,0.457,9
"I",0.495,0.5095,8
"I",0.495,0.5,8
"I",0.495,0.494,8
"I",0.5,0.5605,9
"I",0.505,0.599,11
"I",0.505,0.7045,8
"F",0.51,0.7005,10
"I",0.515,0.7125,10
"I",0.515,0.6725,10
"M",0.515,0.5785,8
"I",0.52,0.5185,8
"I",0.52,0.6375,9
"I",0.52,0.5805,9
"I",0.52,0.6645,7
"I",0.52,0.581,10
"I",0.525,0.596,9
"I",0.525,0.6965,8
"I",0.525,0.6095,9
"I",0.53,0.677,8
"I",0.53,0.7245,9
"I",0.53,0.575,9
"I",0.53,0.632,9
"I",0.535,1.0015,9
"F",0.54,0.9455,9
"I",0.54,0.6555,9
"I",0.54,0.6255,8
"I",0.545,0.8145,10
"I",0.545,0.687,9
"I",0.55,0.7995,10
"I",0.55,0.804,6
"M",0.555,0.7495,8
"M",0.555,0.599,8
"M",0.555,0.7075,7
"I",0.555,0.738,9
"M",0.555,0.837,9
"I",0.56,0.832,9
"F",0.565,0.8305,11
"M",0.565,0.667,7
"M",0.565,0.9355,11
"I",0.565,0.8445,9
"M",0.565,0.895,9
"I",0.565,0.8715,10
"M",0.57,1.0005,11
"M",0.57,0.832,11
"M",0.57,0.9415,9
"M",0.57,0.88,13
"F",0.57,0.803,9
"M",0.575,0.785,9
"M",0.575,0.9765,9
"M",0.575,0.992,10
"M",0.575,1.013,11
"M",0.575,0.876,10
"F",0.575,1.099,9
"I",0.575,0.8715,10
"I",0.575,0.8245,11
"F",0.575,0.7955,9
"M",0.575,0.857,9
"F",0.58,0.8265,9
"F",0.58,0.925,10
"M",0.58,1.0465,10
"I",0.58,0.7905,10
"M",0.58,0.8295,9
"M",0.595,0.886,10
"F",0.6,0.97,11
"M",0.6,1.1805,11
"M",0.6,0.99,10
"F",0.6,1.133,11
"I",0.605,1.071,10
"F",0.605,0.862,9
"M",0.605,1.1155,10
"M",0.61,1.031,8
"F",0.61,1.1185,10
"F",0.61,0.957,8
"F",0.61,1.1785,11
"M",0.615,1.0285,11
"M",0.615,1.0875,9
"F",0.615,1.255,12
"M",0.615,1.219,10
"M",0.62,1.035,11
"M",0.62,1.195,9
"F",0.62,1.062,11
"M",0.62,1.5145,15
"M",0.62,1.309,9
"M",0.62,1.0295,12
"M",0.625,1.0485,11
"M",0.625,1.331,9
"M",0.625,1.1565,10
"F",0.625,1.09,11
"F",0.625,1.354,11
"F",0.625,0.984,11
"M",0.63,1.2525,9
"F",0.635,1.2695,11
"F",0.635,1.3405,11
"F",0.635,1.2895,11
"M",0.635,1.195,12
"M",0.635,1.273,12
"M",0.635,1.229,10
"M",0.64,1.1895,11
"F",0.64,1.1145,10
"F",0.64,1.3115,10
"I",0.64,1.1,10
"M",0.64,1.1285,9
"F",0.64,1.4195,11
"F",0.645,1.6195,12
"M",0.645,1.32,11
"F",0.645,1.5535,16
"I",0.65,1.238,10
"F",0.65,1.189,13
"F",0.65,1.375,10
"F",0.655,1.412,11
"F",0.655,1.348,10
"M",0.655,1.1445,9
"F",0.66,1.4415,10
"M",0.66,1.218,11
"F",0.665,1.2475,10
"M",0.665,1.2695,12
"M",0.665,1.429,12
"F",0.67,1.4015,12
"M",0.675,1.312,11
"F",0.675,1.473,11
"M",0.68,1.623,12
"M",0.68,1.534,10
"M",0.685,1.3845,10
"M",0.69,1.6915,11
"M",0.695,1.5715,13
"F",0.7,1.773,13
"M",0.7,1.4405,12
"M",0.7,1.6245,13
"F",0.705,1.866,10
"F",0.72,1.6705,12
"M",0.72,2.081,11
"F",0.725,1.6195,11
"F",0.75,1.8325,11
"M",0.76,2.173,13
"I",0.135,0.029,4
"I",0.16,0.0195,4
"I",0.21,0.0465,5
"I",0.28,0.1195,6
"I",0.28,0.0895,7
"I",0.285,0.0935,6
"I",0.29,0.1115,5
"I",0.29,0.1195,6
"I",0.29,0.097,6
"I",0.32,0.133,6
"I",0.325,0.1745,7
"I",0.335,0.1695,6
"I",0.35,0.17,7
"I",0.35,0.1605,6
"I",0.355,0.271,9
"I",0.36,0.2185,6
"I",0.36,0.196,7
"I",0.375,0.226,6
"I",0.375,0.22,7
"I",0.395,0.3,7
"I",0.405,0.2875,7
"I",0.415,0.316,8
"I",0.425,0.3675,7
"I",0.43,0.3675,8
"I",0.435,0.346,7
"M",0.45,0.4955,8
"I",0.46,0.4675,7
"M",0.47,0.522,10
"I",0.47,0.441,10
"I",0.475,0.5185,8
"M",0.505,0.653,9
"M",0.505,0.5915,12
"M",0.505,0.4825,10
"I",0.51,0.6855,9
"M",0.515,0.6335,9
"M",0.525,0.6875,9
"F",0.53,0.741,9
"F",0.53,0.6355,9
"M",0.545,0.8395,11
"F",0.55,0.9205,10
"F",0.56,0.8215,9
"M",0.565,0.9255,9
"F",0.57,0.8295,10
"M",0.58,1.063,9
"M",0.59,1.115,10
"F",0.6,0.837,10
"M",0.605,0.982,12
"M",0.61,1.112,10
"F",0.625,1.3485,14
"M",0.66,1.5655,9
"I",0.255,0.086,5
"I",0.27,0.1065,5
"I",0.28,0.132,5
"I",0.285,0.1075,6
"I",0.32,0.1745,8
"I",0.325,0.152,8
"I",0.385,0.2755,8
"I",0.395,0.293,7
"F",0.4,0.368,7
"I",0.405,0.312,8
"I",0.415,0.336,7
"I",0.42,0.355,6
"I",0.44,0.379,9
"I",0.445,0.378,8
"M",0.45,0.4655,8
"F",0.455,0.594,8
"M",0.46,0.4935,8
"M",0.46,0.4595,7
"M",0.465,0.4955,7
"I",0.465,0.4325,9
"F",0.475,0.689,7
"I",0.48,0.5465,8
"M",0.485,0.617,8
"I",0.49,0.538,8
"M",0.5,0.7815,9
"F",0.5,0.6355,8
"M",0.505,0.6435,7
"M",0.525,0.5115,8
"M",0.535,0.738,8
"F",0.535,0.699,8
"F",0.54,0.7655,10
"F",0.54,0.7505,9
"F",0.545,0.844,9
